"year","zone","type","ratio"
"2010","S01001812","Pre 1991",0
"2011","S01001812","Pre 1991",0
"2012","S01001812","Pre 1991",0
"2013","S01001812","Pre 1991",0
"2013","S01001812","All",0
"2009","S01001812","All",0
"2004","S01001812","All",0
"2012","S01001812","All",0
"2005","S01001812","All",0
"2010","S01001812","All",0
"2006","S01001812","All",0
"2014","S01001812","All",0
"2007","S01001812","All",0
"2011","S01001812","All",0
"2008","S01001812","All",0
"2004","S01001813","Pre 1991",0
"2005","S01001813","Pre 1991",0
"2006","S01001813","Pre 1991",0
"2007","S01001813","Pre 1991",0
"2008","S01001813","Pre 1991",0
"2009","S01001813","Pre 1991",0
"2010","S01001813","Pre 1991",0
"2011","S01001813","Pre 1991",0
"2012","S01001813","Pre 1991",0
"2013","S01001813","Pre 1991",0
"2013","S01001813","All",0
"2009","S01001813","All",0
"2004","S01001813","All",0
"2012","S01001813","All",0
"2005","S01001813","All",0
"2010","S01001813","All",0
"2006","S01001813","All",0
"2014","S01001813","All",0
"2007","S01001813","All",0
"2011","S01001813","All",0
"2008","S01001813","All",0
"2004","S01001814","Pre 1991",0
"2005","S01001814","Pre 1991",0
"2006","S01001814","Pre 1991",0
"2007","S01001814","Pre 1991",0
"2008","S01001814","Pre 1991",0
"2009","S01001814","Pre 1991",0
"2010","S01001814","Pre 1991",0
"2011","S01001814","Pre 1991",0
"2012","S01001814","Pre 1991",0
"2013","S01001814","Pre 1991",0
"2013","S01001814","All",0
"2009","S01001814","All",0
"2004","S01001814","All",0
"2012","S01001814","All",0
"2005","S01001814","All",0
"2010","S01001814","All",0
"2006","S01001814","All",0
"2014","S01001814","All",0
"2007","S01001814","All",0
"2011","S01001814","All",0
"2008","S01001814","All",0
"2004","S01001815","Pre 1991",0
"2005","S01001815","Pre 1991",0
"2006","S01001815","Pre 1991",0
"2007","S01001815","Pre 1991",0
"2008","S01001815","Pre 1991",0
"2009","S01001815","Pre 1991",0
"2010","S01001815","Pre 1991",0
"2011","S01001815","Pre 1991",0
"2012","S01001815","Pre 1991","0.7"
"2013","S01001815","Pre 1991",0
"2013","S01001815","All",0
"2009","S01001815","All","34.7"
"2004","S01001815","All",95
"2012","S01001815","All","0.7"
"2005","S01001815","All",95
"2010","S01001815","All","34.7"
"2006","S01001815","All","86.4"
"2014","S01001815","All",0
"2007","S01001815","All","88.8"
"2011","S01001815","All","34.7"
"2008","S01001815","All","33.9"
"2004","S01001816","Pre 1991",0
"2005","S01001816","Pre 1991",0
"2006","S01001816","Pre 1991",0
"2007","S01001816","Pre 1991",0
"2008","S01001816","Pre 1991",0
"2009","S01001816","Pre 1991",0
"2010","S01001816","Pre 1991",0
"2011","S01001816","Pre 1991",0
"2012","S01001816","Pre 1991",0
"2013","S01001816","Pre 1991",0
"2013","S01001816","All","57.3"
"2009","S01001816","All","58.8"
"2004","S01001816","All",0
"2012","S01001816","All","58.4"
"2005","S01001816","All",0
"2010","S01001816","All","58.4"
"2006","S01001816","All",0
"2014","S01001816","All","57.3"
"2007","S01001816","All",0
"2011","S01001816","All","58.4"
"2008","S01001816","All","58.8"
"2004","S01001817","Pre 1991","84.9"
"2005","S01001817","Pre 1991",0
"2006","S01001817","Pre 1991",0
"2007","S01001817","Pre 1991",0
"2008","S01001817","Pre 1991",0
"2009","S01001817","Pre 1991",0
"2010","S01001817","Pre 1991",0
"2011","S01001817","Pre 1991",0
"2012","S01001817","Pre 1991",0
"2013","S01001817","Pre 1991",0
"2013","S01001817","All",0
"2009","S01001817","All",0
"2004","S01001817","All","84.9"
"2012","S01001817","All",0
"2005","S01001817","All",0
"2010","S01001817","All",0
"2006","S01001817","All",0
"2014","S01001817","All",0
"2007","S01001817","All",0
"2011","S01001817","All",0
"2008","S01001817","All",0
"2004","S01001818","Pre 1991",0
"2005","S01001818","Pre 1991",0
"2006","S01001818","Pre 1991",0
"2007","S01001818","Pre 1991",0
"2008","S01001818","Pre 1991",0
"2009","S01001818","Pre 1991",0
"2010","S01001818","Pre 1991",0
"2011","S01001818","Pre 1991",0
"2012","S01001818","Pre 1991",0
"2013","S01001818","Pre 1991",0
"2013","S01001818","All","3.9"
"2009","S01001818","All",4
"2004","S01001818","All",0
"2012","S01001818","All",4
"2005","S01001818","All",0
"2010","S01001818","All",4
"2006","S01001818","All",0
"2014","S01001818","All","3.9"
"2007","S01001818","All",0
"2011","S01001818","All",4
"2008","S01001818","All",4
"2004","S01001819","Pre 1991",0
"2005","S01001819","Pre 1991",0
"2006","S01001819","Pre 1991",0
"2007","S01001819","Pre 1991",0
"2008","S01001819","Pre 1991",0
"2009","S01001819","Pre 1991",0
"2010","S01001819","Pre 1991",0
"2011","S01001819","Pre 1991",0
"2012","S01001819","Pre 1991",0
"2013","S01001819","Pre 1991",0
"2013","S01001819","All","25.1"
"2009","S01001819","All","25.6"
"2004","S01001819","All",0
"2012","S01001819","All","25.7"
"2005","S01001819","All",0
"2010","S01001819","All","25.7"
"2006","S01001819","All",0
"2014","S01001819","All","25.1"
"2007","S01001819","All",0
"2011","S01001819","All","25.7"
"2008","S01001819","All","25.6"
"2004","S01001820","Pre 1991",0
"2005","S01001820","Pre 1991",0
"2006","S01001820","Pre 1991",0
"2007","S01001820","Pre 1991",0
"2008","S01001820","Pre 1991",0
"2009","S01001820","Pre 1991",0
"2010","S01001820","Pre 1991",0
"2011","S01001820","Pre 1991",0
"2012","S01001820","Pre 1991",0
"2013","S01001820","Pre 1991",0
"2013","S01001820","All","12.2"
"2009","S01001820","All",0
"2004","S01001820","All",0
"2012","S01001820","All",0
"2005","S01001820","All",0
"2010","S01001820","All",0
"2006","S01001820","All",0
"2014","S01001820","All",0
"2007","S01001820","All",0
"2011","S01001820","All",0
"2008","S01001820","All",0
"2004","S01001821","Pre 1991",0
"2005","S01001821","Pre 1991",0
"2006","S01001821","Pre 1991",0
"2007","S01001821","Pre 1991",0
"2008","S01001821","Pre 1991",25
"2009","S01001821","Pre 1991",25
"2010","S01001821","Pre 1991",0
"2011","S01001821","Pre 1991",0
"2012","S01001821","Pre 1991","1.7"
"2013","S01001821","Pre 1991",0
"2013","S01001821","All",19
"2009","S01001821","All","37.3"
"2004","S01001821","All",0
"2012","S01001821","All","17.4"
"2005","S01001821","All",0
"2010","S01001821","All","11.9"
"2006","S01001821","All",0
"2014","S01001821","All","19.2"
"2007","S01001821","All",0
"2011","S01001821","All","11.2"
"2008","S01001821","All","37.3"
"2004","S01001822","Pre 1991",0
"2005","S01001822","Pre 1991",0
"2006","S01001822","Pre 1991",0
"2007","S01001822","Pre 1991",0
"2008","S01001822","Pre 1991",0
"2009","S01001822","Pre 1991",0
"2010","S01001822","Pre 1991",0
"2011","S01001822","Pre 1991",0
"2012","S01001822","Pre 1991","1.3"
"2013","S01001822","Pre 1991",0
"2013","S01001822","All",1
"2009","S01001822","All",0
"2004","S01001822","All",0
"2012","S01001822","All","1.3"
"2005","S01001822","All",0
"2010","S01001822","All",0
"2006","S01001822","All",0
"2014","S01001822","All",0
"2007","S01001822","All",0
"2011","S01001822","All",0
"2008","S01001822","All",0
"2004","S01001823","Pre 1991",0
"2005","S01001823","Pre 1991",0
"2006","S01001823","Pre 1991",0
"2007","S01001823","Pre 1991",0
"2008","S01001823","Pre 1991",0
"2009","S01001823","Pre 1991",0
"2010","S01001823","Pre 1991",0
"2011","S01001823","Pre 1991",0
"2012","S01001823","Pre 1991","0.8"
"2013","S01001823","Pre 1991",0
"2013","S01001823","All","42.1"
"2009","S01001823","All",0
"2004","S01001823","All",0
